"corp_type_id","corp_type"
"1","Name Reservation"
"2","LLC Name Reservation"
"3","Domestic Trade Name Entity"
"4","Foreign Trade Name Entity"
"5","Domestic Partn ership Fictitious Name Entity"
"6","Foreign Partnership Fictitious Name Entity"
"7","Domestic For Profit Business Corporation"
"8","Domestic For Profit Corporation Professional"
"9","Domestic For Profit Corporation Farm/Ranch"
"10","Domestic For Profit Corporation Insurance"
"12","Domestic For Profit Corporation Engineering and/or Architect"
"13","Foreign For Profit Business Corporation"
"14","Foreign For Profit Corporation Insurance"
"15","Foreign For Profit Corporation Engineering and/or Architect"
"16","Domestic Not For Profit Corporation"
"17","Domestic Not For Profit Corporation Church"
"18","Foreign Not For Profit Corporation"
"19","Domestic Limited Liability Company"
"20","Domestic Limited Liability Company Professional"
"21","Domestic Limited Liability Company Insurance"
"22","Domestic Limited Liability Company Engineering and/or Architect"
"23","Foreign Limited Liability Company"
"24","Foreign Limited Liability Company Insurance"
"25","Foreign Limited Liability Company Engineering and/or Architect"
"26","Domestic Limited Partnership"
"27","Domestic Limited Partnership Professional"
"28","Domestic Limited Partnership Insurance"
"29","Domestic Limited Partnership Engineering and/or Architect"
"30","Foreign Limited Partnership"
"31","Foreign Limited Partnership Insurance"
"32","Foreign Limited Partnership Engineering and/or Architect"
"33","Domestic Limited Liability Partnership"
"34","Foreign Limited Liability Partnership"
"35","Domestic Religious Association"
"36","Domestic Religious Association Church"
"37","Domestic Bank"
"38","Domestic Credit Union"
"39","Domestic Savings & Loan"
"40","Domestic Rail Road Corporation"
"41","Domestic For Profit Cooperative"
"42","Domestic Not For Profit Cooperative"
"43","Foreign Not For Profit Cooperative"
"44","Charitable Organization"
"45","Professional Fund Raiser"
"46","Athlete Agent"
"47","Cities and Towns"
"48","Public Trust"
"49","CONSERVATION DISTRICT"
"50","Professional Solicitor"
"52","Partnership"
"99","Other Entity"